phecodes,task,phenotype
286.8,286.8,Hypercoagulable state
286.81,286.81,Primary hypercoagulable state
286.9,286.9,Abnormal coagulation profile
287.0,287.0,Purpura and other hemorrhagic conditions
287.1,287.1,Spontaneous ecchymoses
287.2,287.2,Allergic purpura
287.3,287.3,Thrombocytopenia
287.31,287.31,Primary thrombocytopenia
287.32,287.32,Secondary thrombocytopenia
287.4,287.4,Qualitative platelet defects
288.0,288.0,Diseases of white blood cells
288.1,288.1,Decreased white blood cell count
288.11,288.11,Neutropenia
288.2,288.2,Elevated white blood cell count
288.3,288.3,Eosinophilia
289.0,289.0,Other diseases of blood and blood-forming organs
289.1,289.1,Myelofibrosis
289.3,289.3,Personal history of diseases of blood and blood-forming organs
289.4,289.4,Lymphadenitis
289.5,289.5,Diseases of spleen
289.8,289.8,"Polycythemia vera, secondary"
289.9,289.9,Abnormality of red blood cells
290.0,dementia,Delirium dementia and amnestic and other cognitive disorders
290.0,290.0,Delirium dementia and amnestic and other cognitive disorders
290.1,290.1,Dementias
290.1,dementia,Dementias
290.11,dementia,Alzheimer's disease
290.11,290.11,Alzheimer's disease
290.12,dementia,Dementia with cerebral degenerations
290.12,290.12,Dementia with cerebral degenerations
290.13,290.13,Senile dementia
290.16,290.16,Vascular dementia
290.16,dementia,Vascular dementia
290.16,CVD_Cerebrovascular_Disease,Vascular dementia
290.2,290.2,Delirium due to conditions classified elsewhere
290.3,290.3,Other persistent mental disorders due to conditions classified elsewhere
291.0,291.0,Other specified nonpsychotic and/or transient mental disorders
291.1,291.1,Transient mental disorders due to conditions classified elsewhere
291.4,291.4,Specific nonpsychotic mental disorders due to brain damage
291.8,291.8,Alteration of consciousness
292.0,292.0,Neurological disorders
292.1,292.1,Aphasia/speech disturbance
292.11,292.11,Aphasia
292.12,292.12,Symbolic dysfunction
292.2,292.2,Mild cognitive impairment
292.2,dementia,Mild cognitive impairment
292.3,292.3,Memory loss
292.3,dementia,Memory loss
292.4,292.4,Altered mental status
292.5,292.5,Transient alteration of awareness
292.6,292.6,Hallucinations
